Filename	Comment text	Start line	End line	No. of words	Program Domain Concepts	Problem Domain Concepts	Copyright/License	Bug/Fix/Patch/Version	Build	System spec	Authorship	Email	Date	Todo	Junk	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30		
repos/GenePrediction/Viterbi/Viterbi.cpp	---------------------------------------------------------------------------	5	5	1	{}	[]	False	False	False	False	False	False	False	False	True						1	1						1																	1		
repos/GenePrediction/Viterbi/Viterbi.cpp	---------------------------------------------------------------------------	11	11	1	{}	[]	False	False	False	False	False	False	False	False	True						1	1						1																	1		
repos/GenePrediction/Viterbi/Viterbi.cpp	"---------------------------------------------------------------------------
Print out the list of probabilities and log probabilities."	17	18	10	{'print': ['print', 'Operations as part of Algorithms'], 'and log': ['anti log', 'Operations as part of Data structure'], 'log': ['log', 'Operations as part of Data structure'], 'out': ['out', 'Properties of Datastructure / Function / Blocks'], 'list': ['list', 'Data-Structure and its Components']}	[]	False	False	False	False	False	False	False	False	False							1		1																							
repos/GenePrediction/Viterbi/Viterbi.cpp	"---------------------------------------------------------------------------
build_table() does the work for unrolling the HMM to a probability table used for dynamic programming."	40	41	17	{'for': ['for', 'Operations as part of Algorithms'], 'dynamic': ['dynam', 'Properties of Datastructure / Function / Blocks']}	[]	False	False	True	False	False	False	False	False	False							1	1														1										
repos/GenePrediction/Viterbi/Viterbi.cpp	"Initialize the first column with the (log) probability of choosing the node,
multiplied by (added to) the (log) probability of emitting what the node emitted."	44	45	25	{'multiplied': ['multipli', 'Operations as part of Data structure'], 'log': ['log', 'Operations as part of Data structure'], '(added': ['added', 'Operations as part of Data structure'], 'node': ['node', 'Data-Structure and its Components'], 'added': ['ad', 'Operations as part of Data structure'], 'choosing': ['choos', 'Operations as part of Algorithms'], 'initialize': ['initialize', 'Time Complexity / Space Complexity/ Memory/ Exception'], 'first': ['first', 'Data-Structure and its Components']}	[]	False	False	False	False	False	False	False	False	False							1		1																							
repos/GenePrediction/Viterbi/Viterbi.cpp	"Visit each entry in the table (besides the base cases) and score each.
Viterbi needs to be done column-by-column (as opposed to row-by-row)."	54	55	23	{'score': ['score', 'Data-Structure and its Components'], 'base': ['base', 'Properties of Datastructure / Function / Blocks'], 'cases': ['case', 'Operations as part of Algorithms'], 'cases)': ['case', 'Operations as part of Algorithms'], 'viterbi': ['Viterbi', 'Statistical/Optimisation'], 'base cases)': ['base case', 'Properties of Datastructure / Function / Blocks'], 'opposed': ['composed', 'Operations as part of Algorithms'], 'each': ['each', 'Data-Structure and its Components']}	['viterbi', 'base']	False	False	False	False	False	False	False	False	False									1		1																					
repos/GenePrediction/Viterbi/Viterbi.cpp	"Take the (log) probability of the previous node, multiplied by (added to) the (log) probability of
taking the path/edge of that node to the current node, multiplied by (added to) the (log) probability
of emitting what the current node emitted."	60	62	40	{'multiplied': ['multipli', 'Operations as part of Data structure'], 'log': ['log', 'Operations as part of Data structure'], '(added': ['added', 'Operations as part of Data structure'], 'node': ['node', 'Data-Structure and its Components'], 'added': ['ad', 'Operations as part of Data structure'], 'current': ['recurrent', 'Properties of Datastructure / Function / Blocks'], 'previous': ['previous', 'Data-Structure and its Components']}	[]	False	False	True	False	False	False	False	False	False							1		1													1										
repos/GenePrediction/Viterbi/Viterbi.cpp	"For this node, walk each of the edges that points at this node.
Do the probability calculation for that edge, and take the max of all of the calculations."	66	67	29	{'points': ['counts', 'Operations as part of Algorithms'], 'for': ['for', 'Operations as part of Algorithms'], 'edges': ['edg', 'Data-Structure and its Components'], 'edge': ['edg', 'Data-Structure and its Components'], 'all of': ['alloc', 'Time Complexity / Space Complexity/ Memory/ Exception'], 'node': ['node', 'Data-Structure and its Components'], 'do': ['do', 'Operations as part of Algorithms'], 'max': ['max', 'Operations as part of Data structure'], 'each': ['each', 'Data-Structure and its Components']}	[]	False	False	False	False	False	False	False	False	False							1		1																							
repos/GenePrediction/Viterbi/Viterbi.cpp	Save the calculated probability.	76	76	4	{}	[]	False	False	False	False	False	False	False	False	False						1	1																									
repos/GenePrediction/Viterbi/Viterbi.cpp	---------------------------------------------------------------------------	82	82	1	{}	[]	False	False	False	False	False	False	False	False	True						1	1						1																	1		
